L	0.3122427	0.5803398	1477010443000000.00	0.6	0.6	5.199937	0	0	0.006911322
L	1.173848	0.4810729	1477010443100000.00	1.119984	0.6002246	5.199429	0.005389957	0.001036644	0.0207296
L	1.650626	0.6246904	1477010443200000.00	1.639904	0.6013473	5.198392	0.0179597	0.003454842	0.03453479
L	2.188824	0.6487392	1477010443300000.00	2.159704	0.6040855	5.196776	0.03769324	0.007253069	0.04831816
L	2.655256	0.6659798	1477010443400000.00	2.679323	0.6091545	5.194504	0.06456542	0.01242892	0.06207101
L	3.012223	0.6370455	1477010443500000.00	3.19869	0.6172666	5.19147	0.09854147	0.01897914	0.07578466
L	3.89365	0.311793	1477010443600000.00	3.717722	0.6291305	5.187542	0.1395764	0.02689958	0.08945044
L	4.309346	0.5785637	1477010443700000.00	4.236322	0.6454494	5.18256	0.187614	0.03618523	0.1030597
L	4.351431	0.8991741	1477010443800000.00	4.754374	0.6669207	5.17634	0.2425866	0.04683024	0.1166039
L	5.518935	0.6482327	1477010443900000.00	5.271746	0.6942343	5.168671	0.3044132	0.05882788	0.1300744
L	6.022003	0.7086193	1477010444000000.00	5.788279	0.7280715	5.159319	0.3729989	0.07217058	0.1434628
L	6.342486	0.9488326	1477010444100000.00	6.303794	0.769103	5.148029	0.4482333	0.0868499	0.1567606
L	6.782143	0.7140359	1477010444200000.00	6.818081	0.8179882	5.134523	0.5299897	0.1028566	0.1699593
L	7.13735	0.9572165	1477010444300000.00	7.330903	0.8753725	5.118505	0.6181232	0.1201805	0.1830507
L	7.805334	0.7191261	1477010444400000.00	7.841995	0.9418861	5.099659	0.7124693	0.1388107	0.1960265
L	8.247959	0.8403219	1477010444500000.00	8.351056	1.018142	5.077658	0.8128429	0.1587355	0.2088785
L	8.746145	1.048576	1477010444600000.00	8.857753	1.104732	5.052156	0.9190366	0.1799422	0.2215985
L	9.255788	1.049129	1477010444700000.00	9.361717	1.202229	5.022799	1.030819	0.2024174	0.2341786
L	10.04839	1.445978	1477010444800000.00	9.862544	1.311179	4.989224	1.147935	0.226147	0.2466108
L	10.24922	1.459068	1477010444900000.00	10.35979	1.432101	4.95106	1.270101	0.251116	0.2588872
L	10.73126	1.452653	1477010445000000.00	10.85299	1.565486	4.907936	1.397008	0.2773086	0.271
L	11.58696	1.614624	1477010445100000.00	11.34161	1.711793	4.859477	1.528318	0.3047082	0.2829417
L	11.77877	1.745907	1477010445200000.00	11.82511	1.871443	4.805313	1.663664	0.3332976	0.2947047
L	12.32259	1.783533	1477010445300000.00	12.30289	2.04482	4.745079	1.802651	0.3630587	0.3062816
L	12.59241	2.175092	1477010445400000.00	12.77433	2.232269	4.678422	1.94485	0.3939727	0.317665
L	13.08745	2.407081	1477010445500000.00	13.23878	2.434087	4.604997	2.089806	0.42602	0.3288477
L	13.83597	2.624793	1477010445600000.00	13.69552	2.650527	4.52448	2.237032	0.4591805	0.3398228
L	14.21055	2.942051	1477010445700000.00	14.14385	2.88179	4.436565	2.386012	0.4934331	0.3505832
L	14.46161	2.90734	1477010445800000.00	14.583	3.128024	4.34097	2.536202	0.5287563	0.3611222
L	15.02608	3.506701	1477010445900000.00	15.0122	3.389323	4.237439	2.687028	0.5651278	0.371433
L	15.52355	3.829364	1477010446000000.00	15.43063	3.665719	4.125748	2.837893	0.6025245	0.3815093
L	15.97744	4.00094	1477010446100000.00	15.83747	3.957185	4.005707	2.988174	0.6409228	0.3913446
L	16.33127	4.444992	1477010446200000.00	16.23188	4.263631	3.877162	3.137226	0.6802985	0.4009327
L	16.60391	4.673437	1477010446300000.00	16.61299	4.584899	3.740002	3.284385	0.7206268	0.4102676
L	16.99546	5.210994	1477010446400000.00	16.97995	4.920767	3.594156	3.428969	0.7618821	0.4193434
L	17.28942	5.435416	1477010446500000.00	17.33188	5.270941	3.439602	3.570283	0.8040384	0.4281543
L	17.78529	5.624759	1477010446600000.00	17.66791	5.635059	3.276367	3.707622	0.847069	0.4366947
L	18.12629	6.169846	1477010446700000.00	17.98717	6.012686	3.104526	3.840274	0.8909468	0.4449593
L	18.21643	6.661379	1477010446800000.00	18.28881	6.403317	2.924208	3.967526	0.9356441	0.4529429
L	18.54218	6.760131	1477010446900000.00	18.572	6.806376	2.735598	4.088665	0.9811327	0.4606404
L	19.14412	7.183445	1477010447000000.00	18.83591	7.221216	2.538932	4.202987	1.027384	0.468047
L	19.01375	7.8688	1477010447100000.00	19.07975	7.647117	2.334504	4.309797	1.074368	0.4751579
L	19.13202	8.128449	1477010447200000.00	19.30276	8.083295	2.122663	4.408416	1.122056	0.4819687
L	19.34701	8.307412	1477010447300000.00	19.50422	8.528895	1.903813	4.498188	1.170417	0.488475
L	20.00388	8.890601	1477010447400000.00	19.68345	8.983001	1.678411	4.578481	1.219422	0.4946729
L	20.15738	9.459486	1477010447500000.00	19.83982	9.444632	1.446969	4.648694	1.269038	0.5005583
L	20.15731	9.908763	1477010447600000.00	19.97276	9.912751	1.210049	4.708261	1.319235	0.5061275
L	20.16601	10.46872	1477010447700000.00	20.08175	10.38627	0.9682592	4.756658	1.369981	0.5113771
L	20.37105	11.01086	1477010447800000.00	20.16633	10.86404	0.7222565	4.793403	1.421244	0.5163036
L	20.31642	11.34834	1477010447900000.00	20.22612	11.34487	0.472738	4.818065	1.472992	0.5209041
L	20.61409	11.94215	1477010448000000.00	20.2608	11.82754	0.2204395	4.830266	1.525191	0.5251755
L	20.32628	12.49663	1477010448100000.00	20.27014	12.31078	-0.03386937	4.829682	1.577809	0.5291152
L	20.49803	12.89237	1477010448200000.00	20.25398	12.79331	-0.2893896	4.816052	1.630813	0.5327207
L	20.1943	13.16879	1477010448300000.00	20.21223	13.27379	-0.5452981	4.789175	1.684169	0.5359898
L	20.32453	13.88963	1477010448400000.00	20.1449	13.75091	-0.8007527	4.748916	1.737843	0.5389203
L	20.12156	14.33704	1477010448500000.00	20.05208	14.22332	-1.054898	4.695207	1.791802	0.5415104
L	19.78097	14.77296	1477010448600000.00	19.93395	14.68968	-1.306871	4.628048	1.846011	0.5437585
L	20.02083	15.2053	1477010448700000.00	19.79076	15.14863	-1.555808	4.547507	1.900437	0.5456631
L	19.91309	15.55404	1477010448800000.00	19.62287	15.59886	-1.800848	4.453722	1.955044	0.5472231
L	19.47484	16.00982	1477010448900000.00	19.43071	16.03904	-2.041143	4.346899	2.009799	0.5484374
L	19.23803	16.27185	1477010449000000.00	19.2148	16.46788	-2.275858	4.227312	2.064667	0.5493053
L	19.00294	16.83874	1477010449100000.00	18.97573	16.88413	-2.504184	4.0953	2.119613	0.5498263
L	18.61478	17.38315	1477010449200000.00	18.71418	17.28656	-2.725339	3.951269	2.174602	0.55
L	18.10226	17.55294	1477010449300000.00	18.43092	17.674	-2.938575	3.795682	2.229599	0.5498263
L	18.20938	18.04608	1477010449400000.00	18.12677	18.04531	-3.143182	3.629063	2.284571	0.5493053
